Type;Committee;Reference;Vote;Result;Status;Opening date;Closing date;Closed on;Vienna agreement;Work Item ID;Work Item Number;Role;Title;URL;Note
"CIB-NWI";"CEN/TC 192";"DraftDec 05/2026 NWIP for revision of EN 15182-4:2019";"";"";"Open";"2026-01-27";"2026-03-27";"n/a";"None";"";"";"Voter";"Draft Decision 05/2026 to adopt an NWIP for revision of WI 00192115 EN 15182-4:2019 Portable equipment for projecting extinguishing agents and firefighting support operations — Hand-held branchpipes for fire service use — Part 4: High pressure branchpipes PN 40";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=181416";""
"Enquiry";"CEN/TC 218";"prEN ISO 1403";"";"";"Open";"2026-01-08";"2026-03-27";"n/a";"VA/ISO";"81201";"00218269";"Voter";"Rubber hoses, textile-reinforced, for general-purpose water applications — Specification (ISO/DIS 1403:2026)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=177056";""
"Enquiry";"CEN/TC 194";"prEN ISO 8442-5";"";"";"Open";"2026-01-08";"2026-03-30";"n/a";"VA/ISO";"81413";"00194174";"Voter";"Materials and articles in contact with foodstuffs - Cutlery and table holloware - Part 5: Specification for sharpness and cutting wear resistance test of cutlery (ISO/DIS 8442-5:2026)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=177116";""
"Enquiry";"CEN/TC 430";"prEN ISO 19226";"";"";"Open";"2026-01-08";"2026-03-31";"n/a";"VA/ISO";"78028";"00430115";"Voter";"Nuclear energy - Determination of neutron fluence and displacement per atom (dpa) in reactor vessel and internals (ISO/DIS 19226:2026)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=177019";""
"Enquiry";"CEN/TC 138";"prEN ISO 20769-1";"";"";"Open";"2026-01-08";"2026-04-01";"n/a";"VA/ISO";"80129";"00138306";"Voter";"Non-destructive testing - Radiographic inspection of corrosion and deposits in pipes by X- and gamma rays - Part 1: Tangential radiographic inspection (ISO/DIS 20769-1:2026)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=177077";""
"Enquiry";"CEN/TC 138";"prEN ISO 20769-2";"";"";"Open";"2026-01-08";"2026-04-01";"n/a";"VA/ISO";"80130";"00138307";"Voter";"Non-destructive testing - Radiographic inspection of corrosion and deposits in pipes by X- and gamma rays - Part 2: Double wall radiographic inspection (ISO/DIS 20769-2:2026)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=177076";""
"CIB";"CEN/TC 454";"CIB for the nomination of a new liaison officer from TC 230";"";"";"Open";"2026-01-07";"2026-04-01";"n/a";"None";"";"";"Voter";"CIB for the nomination of a new liaison officer";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=176836";"For the replacement of Mr Hein Goeyens, we are looking for a new liaison officer from CEN/TC 230 Water analysis to CEN/TC 454 Algae and algae products"
"CIB";"CEN/TC 454";"CIB for the nomination of a new liaison officer from TC 327";"";"";"Open";"2026-01-07";"2026-04-01";"n/a";"None";"";"";"Voter";"CIB for the nomination of a new liaison officer";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=176856";"For the replacement of Mr Siebren van Tuinen, we are looking for a new liaison officer from CEN/TC 327 Animal feeding stuffs: Methods of sampling and analysis to CEN/TC 454 Algae and algae products."
"CIB";"CEN/TC 454";"CIB for the nomination of a new liaison officer to TC 275";"";"";"Open";"2026-01-07";"2026-04-01";"n/a";"None";"";"";"Voter";"CIB for the nomination of a new liaison officer";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=176916";"For the replacement of Mr Nolwen Alliot, we are looking for a new liaison officer from CEN/TC 454 Algae and algae products to CEN/TC 275 Food analysis - Horizontal methods."
"CIB";"CEN/TC 454";"CIB for the nomination of a new liaison officer to TC 463";"";"";"Open";"2026-01-07";"2026-04-01";"n/a";"None";"";"";"Voter";"CIB for the nomination of a new liaison officer";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=176936";"For the replacement of Mr Norwen Alliot, we are looking for a new liaison officer from CEN/TC 454 Algae and algae products to CEN/TC 463 Microbiology of the food chain"
"Enquiry";"ASD-STAN";"prEN 3645-001";"";"";"Open";"2026-01-08";"2026-04-02";"n/a";"None";"77798";"04004818";"Voter";"Aerospace series - Connectors, electrical, circular, scoop-proof, triple start threaded coupling, operating temperature 175 °C or 200 °C continuous - Part 001: Technical specification";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=177018";""
"Enquiry";"CEN/TC 204";"prEN ISO 11737-3";"";"";"Open";"2026-01-08";"2026-04-02";"n/a";"None";"82878";"00204097";"Voter";"Sterilization of health care products - Microbiological methods - Part 3: Bacterial endotoxin testing (ISO 11737-3:2023)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=177099";""
"Enquiry";"CEN/TC 215";"prEN ISO 17256";"";"";"Open";"2026-01-08";"2026-04-02";"n/a";"None";"82904";"00215376";"Voter";"Anaesthetic and respiratory equipment - Respiratory therapy tubing and connectors (ISO 17256:2024)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=177078";""
"Enquiry";"CEN/TC 223";"prEN 18278";"";"";"Open";"2026-01-08";"2026-04-02";"n/a";"None";"70765";"00223121";"Voter";"Soil improvers and growing media - Detection of Salmonella spp.";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=177017";""
"Enquiry";"CEN/TC 223";"prEN 18279";"";"";"Open";"2026-01-08";"2026-04-02";"n/a";"None";"70763";"00223119";"Voter";"Soil improvers and growing media - Enumeration of enterococci";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=177036";""
"Enquiry";"CEN/TC 223";"prEN 18280";"";"";"Open";"2026-01-08";"2026-04-02";"n/a";"None";"70757";"00223114";"Voter";"Soil improvers and growing media - Enumeration of Escherichia coli";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=177016";""
"FV";"CEN/TC 230";"FprCEN ISO/TS 16099";"";"";"Open";"2026-01-08";"2026-04-02";"n/a";"None";"82864";"00230479";"Voter";"Water quality - Polymerase chain reaction (PCR) for the detection and quantification of microorganisms and viruses - General requirements, quality assurance and validation (ISO/TS 16099:2025)";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=177081";""
"Enquiry";"CEN/TC 430";"prEN ISO 12800";"";"";"Open";"2026-01-08";"2026-04-02";"n/a";"VA/ISO";"81250";"00430134";"Voter";"Nuclear fuel technology - Guidelines on the measurement of the specific surface area of uranium dioxide and plutonium dioxide powders by the BET method (ISO/DIS 12800:2026)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=177096";""
"Enquiry";"CEN/TC 459/SC 1";"prEN 10160";"";"";"Open";"2026-01-08";"2026-04-02";"n/a";"None";"80753";"EC101209";"Voter";"Non-destructive testing - Ultrasonic testing of steel flat product of thickness equal or greater than 5 mm (reflection method)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=177020";""
"Enquiry";"CEN/TC 184";"prEN ISO 23739";"";"";"Open";"2026-01-15";"2026-04-06";"n/a";"VA/ISO";"79021";"00184290";"Voter";"Fine ceramics (advanced ceramics, advanced technical ceramics) - Methods for chemical analysis of zirconium oxide powders (ISO/DIS 23739:2026)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=178958";""
"Enquiry";"CEN/TC 212";"prEN ISO 14451-1";"";"";"Open";"2026-01-15";"2026-04-06";"n/a";"VA/CEN";"79922";"00212158";"Voter";"Pyrotechnic articles - Pyrotechnic articles for vehicles - Part 1: Vocabulary (ISO/DIS 14451-1:2026)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=178940";""
"Enquiry";"CEN/TC 212";"prEN ISO 14451-10";"";"";"Open";"2026-01-15";"2026-04-06";"n/a";"VA/CEN";"79965";"00212162";"Voter";"Pyrotechnic articles - Pyrotechnic articles for vehicles - Part 10: Requirements and categorization for semi-finished products (ISO/DIS 14451-10:2026)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=178939";""
"Enquiry";"CEN/TC 212";"prEN ISO 14451-2";"";"";"Open";"2026-01-15";"2026-04-06";"n/a";"VA/CEN";"79923";"00212159";"Voter";"Pyrotechnic articles - Pyrotechnic articles for vehicles - Part 2: Test methods (ISO/DIS 14451-2:2026)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=178981";""
"Enquiry";"CEN/TC 212";"prEN ISO 14451-3";"";"";"Open";"2026-01-15";"2026-04-06";"n/a";"VA/CEN";"79921";"00212157";"Voter";"Pyrotechnic articles - Pyrotechnic articles for vehicles - Part 3: Labelling (ISO/DIS 14451-3:2026)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=178980";""
"Enquiry";"CEN/TC 212";"prEN ISO 14451-4";"";"";"Open";"2026-01-15";"2026-04-06";"n/a";"VA/CEN";"79920";"00212156";"Voter";"Pyrotechnic articles - Pyrotechnic articles for vehicles - Part 4: Requirements and categorization for micro gas generators (ISO/DIS 14451-4:2026)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=179037";""
"Enquiry";"CEN/TC 212";"prEN ISO 14451-5";"";"";"Open";"2026-01-15";"2026-04-06";"n/a";"VA/CEN";"79966";"00212163";"Voter";"Pyrotechnic articles - Pyrotechnic articles for vehicles - Part 5: Requirements and categorization for airbag gas generators (ISO/DIS 14451-5:2026)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=178977";""
"Enquiry";"CEN/TC 212";"prEN ISO 14451-6";"";"";"Open";"2026-01-15";"2026-04-06";"n/a";"VA/CEN";"79963";"00212160";"Voter";"Pyrotechnic articles - Pyrotechnic articles for vehicles - Part 6: Requirements and categorization for airbag modules (ISO/DIS 14451-6:2026)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=178937";""
"Enquiry";"CEN/TC 212";"prEN ISO 14451-7";"";"";"Open";"2026-01-15";"2026-04-06";"n/a";"VA/CEN";"79968";"00212165";"Voter";"Pyrotechnic articles - Pyrotechnic articles for vehicles - Part 7: Requirements and categorization for seatbelt pretensioners (ISO/DIS 14451-7:2026)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=178979";""
"Enquiry";"CEN/TC 212";"prEN ISO 14451-8";"";"";"Open";"2026-01-15";"2026-04-06";"n/a";"VA/CEN";"79967";"00212164";"Voter";"Pyrotechnic articles - Pyrotechnic articles for vehicles - Part 8: Requirements and categorization for igniters (ISO/DIS 14451-8:2026)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=178978";""
"Enquiry";"CEN/TC 212";"prEN ISO 14451-9";"";"";"Open";"2026-01-15";"2026-04-06";"n/a";"VA/CEN";"79964";"00212161";"Voter";"Pyrotechnic articles - Pyrotechnic articles for vehicles - Part 9: Requirements and categorization for actuators (ISO/DIS 14451-9:2026)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=178938";""
"Enquiry";"CEN/CLC/JTC 6";"prEN ISO 19870-2";"";"";"Open";"2026-01-15";"2026-04-07";"n/a";"VA/ISO";"83200";"JT006008";"Voter";"Hydrogen technologies - Methodology for determining the greenhouse gas emissions associated with the hydrogen supply chain - Part 2: Emissions associated with the conditioning and transport of gaseous and liquid hydrogen up to consumption gate (ISO/DIS 19870-2:2026)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=178985";""
"Enquiry";"CEN/CLC/JTC 6";"prEN ISO 19870-3";"";"";"Open";"2026-01-15";"2026-04-07";"n/a";"VA/ISO";"83199";"JT006007";"Voter";"Hydrogen technologies - Methodology for determining the greenhouse gas emissions associated with the hydrogen supply chain - Part 3: Emissions associated with the production, storage and transport of ammonia up to delivery gate and the conversion of ammonia into hydrogen (ISO/DIS 19870-3:2026)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=178942";""
"Enquiry";"CEN/TC 155";"prEN ISO 13760";"";"";"Open";"2026-01-15";"2026-04-07";"n/a";"VA/ISO";"80872";"00155A24";"Voter";"Plastics pipes for the conveyance of fluids under pressure - Miner's rule - Calculation method for cumulative damage (ISO/DIS 13760:2026)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=178987";""
"Enquiry";"CEN/TC 215";"prEN ISO 18730";"";"";"Open";"2026-01-15";"2026-04-07";"n/a";"VA/ISO";"80706";"00215363";"Voter";"Anaesthetic and respiratory equipment - Waste volatile anaesthetic agent capture systems (ISO/DIS 18730:2026)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=178945";""
"CIB";"CEN-CLC/SAG OHS";"Draft guidance document on OHS in standardization";"";"";"Open";"2026-01-16";"2026-04-08";"n/a";"None";"";"";"Voter";"Draft guidance document on OHS in standardization";"https://cen.iso.org/livelink/eb33/part/cencib/ballotAction.do?method=doView&id=179496";"A draft of the guidance document on OHS in standardization was prepared by an AHG of CEN-CLC/SAG OHS and is now circulated for commenting. Please check the draft guidance document on OHS in standardization attached here and submit any comments latest until 8th April 2026. Please use the usual table of comments. Please do also indicate in the ballot whether you would recommend an approval of the guidance document."
"Enquiry";"ASD-STAN";"prEN 2897";"";"";"Open";"2026-01-15";"2026-04-09";"n/a";"None";"59984";"04003868";"Voter";"Aerospace series - Screw, pan head, offset cruciform recess, close tolerance normal shank, short thread, in alloy steel, cadmium plated - Classification: 1 100 MPa (at ambient temperature)/235 °C";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=178936";""
"FV";"CEN/CLC/JTC 25";"FprCEN/CLC/TS 18331";"";"";"Open";"2026-01-15";"2026-04-09";"n/a";"None";"82502";"JT025010";"Voter";"Maturity assessment of Common European Data Spaces";"https://cen.iso.org/livelink/eb33/part/cenfvuap/ballotAction.do?method=doView&id=179063";""
"Enquiry";"CEN/TC 23";"EN ISO 11117:2019/prA1";"";"";"Open";"2026-01-15";"2026-04-09";"n/a";"VA/ISO";"80839";"00023263";"Voter";"Gas cylinders - Valve protection caps and guards - Design, construction and tests - Amendment 1 (ISO 11117:2019/DAM 1:2026)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=178998";""
"Enquiry";"CEN/TC 23";"EN ISO 17871:2020/prA2";"";"";"Open";"2026-01-15";"2026-04-09";"n/a";"VA/ISO";"80088";"00023261";"Voter";"Gas cylinders - Quick-release cylinder valves - Specification and type testing - Amendment 2 (ISO 17871:2020/DAM 2:2026)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=179038";""
"Enquiry";"CEN/TC 23";"prEN ISO 17879";"";"";"Open";"2026-01-15";"2026-04-09";"n/a";"VA/ISO";"80089";"00023262";"Voter";"Gas cylinders - Self-closing cylinders valves - Specification and type testing (ISO/DIS 17879:2026)";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=178982";""
"Enquiry";"CEN/TC 93";"prEN 131-9";"";"";"Open";"2026-01-15";"2026-04-09";"n/a";"None";"75701";"00093208";"Voter";"Ladders - Part 9: Step stools";"https://cen.iso.org/livelink/eb33/part/cenenq/ballotAction.do?method=doView&id=178957";""
